ANYO_ACADEMICO;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_CENTRO;NOM_CENTRO;COD_FAMILIA;NOM_FAMILIA;COD_GRADO;NOM_GRADO;COD_CICLO;NOM_CICLO;COD_CURSO;CURSO;COD_TURNO;NOM_TURNO;NUM_GRUPOS;NUM_ALUMNOS
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;031;ELECTRICIDAD Y ELECTRÓNICA;GS;GRADO SUPERIOR;908104;AUTOMATIZACIÓN Y ROBÓTICA INDUSTRIAL;1CFS;PRIMERO;4;MATUTINO;1;2
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;031;ELECTRICIDAD Y ELECTRÓNICA;GS;GRADO SUPERIOR;908104;AUTOMATIZACIÓN Y ROBÓTICA INDUSTRIAL;2CFS;SEGUNDO;2;VESPERTINO;1;20
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;120;MADERA, MUEBLE Y CORCHO;GM;GRADO MEDIO;048103;CARPINTERIA Y MUEBLE;1CFM;PRIMERO;-1;OTROS;1;1
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;120;MADERA, MUEBLE Y CORCHO;GM;GRADO MEDIO;048103;CARPINTERIA Y MUEBLE;1CFM;PRIMERO;4;MATUTINO;1;16
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;120;MADERA, MUEBLE Y CORCHO;GM;GRADO MEDIO;048103;CARPINTERIA Y MUEBLE;2CFM;SEGUNDO;4;MATUTINO;1;5
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;120;MADERA, MUEBLE Y CORCHO;GS;GRADO SUPERIOR;895104;DISEÑO Y AMUEBLAMIENTO;1CFS;PRIMERO;4;MATUTINO;1;18
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;126;TEXTIL, CONFECCIÓN Y PIEL;GM;GRADO MEDIO;911103;FABRICACIÓN Y ENNOBLECIMIENTO DE PRODUCTOS  TEXTILES;1CFM;PRIMER;1;DIURNO;1;2
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;126;TEXTIL, CONFECCIÓN Y PIEL;GM;GRADO MEDIO;911103;FABRICACIÓN Y ENNOBLECIMIENTO DE PRODUCTOS  TEXTILES;1CFM;PRIMER;4;MATUTINO;1;13
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;126;TEXTIL, CONFECCIÓN Y PIEL;GM;GRADO MEDIO;911103;FABRICACIÓN Y ENNOBLECIMIENTO DE PRODUCTOS  TEXTILES;2CFM;SEGUNDO;4;MATUTINO;1;9
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;129;FABRICACIÓN MECÁNICA;GM;GRADO MEDIO;433103;MECANIZADO (LOE);1CFM;PRIMERO;1;DIURNO;1;1
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;129;FABRICACIÓN MECÁNICA;GM;GRADO MEDIO;433103;MECANIZADO (LOE);1CFM;PRIMERO;4;MATUTINO;1;19
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;129;FABRICACIÓN MECÁNICA;GM;GRADO MEDIO;433103;MECANIZADO (LOE);2CFM;SEGUNDO;-1;OTROS;1;1
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;129;FABRICACIÓN MECÁNICA;GM;GRADO MEDIO;433103;MECANIZADO (LOE);2CFM;SEGUNDO;4;MATUTINO;1;10
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;129;FABRICACIÓN MECÁNICA;GS;GRADO SUPERIOR;713104;PROGRAMACIÓN DE LA PRODUCCIÓN EN FABRICACIÓN MECÁNICA;1CFS;PRIMERO;1;DIURNO;1;1
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;129;FABRICACIÓN MECÁNICA;GS;GRADO SUPERIOR;713104;PROGRAMACIÓN DE LA PRODUCCIÓN EN FABRICACIÓN MECÁNICA;1CFS;PRIMERO;2;VESPERTINO;1;17
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;129;FABRICACIÓN MECÁNICA;GS;GRADO SUPERIOR;713104;PROGRAMACIÓN DE LA PRODUCCIÓN EN FABRICACIÓN MECÁNICA;2CFS;SEGUNDO;2;VESPERTINO;1;13
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;191;ENERGÍA Y AGUA;GS;GRADO SUPERIOR;861104;ENERGÍAS RENOVABLES;1CFS;PRIMERO;-1;OTROS;2;10
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;191;ENERGÍA Y AGUA;GS;GRADO SUPERIOR;861104;ENERGÍAS RENOVABLES;1CFS;PRIMERO;1;DIURNO;1;31
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;191;ENERGÍA Y AGUA;GS;GRADO SUPERIOR;861104;ENERGÍAS RENOVABLES;1CFS;PRIMERO;4;MATUTINO;1;2
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;191;ENERGÍA Y AGUA;GS;GRADO SUPERIOR;861104;ENERGÍAS RENOVABLES;2CFS;SEGUNDO;-1;OTROS;2;9
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;191;ENERGÍA Y AGUA;GS;GRADO SUPERIOR;861104;ENERGÍAS RENOVABLES;2CFS;SEGUNDO;1;DIURNO;1;20
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;191;ENERGÍA Y AGUA;GS;GRADO SUPERIOR;861104;ENERGÍAS RENOVABLES;2CFS;SEGUNDO;4;MATUTINO;1;1
