ANYO_ACADEMICO;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_CONSER;NOM_CONSER;COD_GRADO;DESC_GRADO;CURSO;ESPECIALIDAD;MATRICULADOS
2022-2023;3;ALICANTE/ALACANT;3014;ALACANT/ALICANTE;3012153;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;P;ENSEÑANZA PROFESIONAL DANZA;3º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;8
2022-2023;3;ALICANTE/ALACANT;3014;ALACANT/ALICANTE;3012153;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;P;ENSEÑANZA PROFESIONAL DANZA;3º ENSEÑANZA PROFESIONAL DANZA;DANZA CONTEMPORÁNEA;10
2022-2023;3;ALICANTE/ALACANT;3014;ALACANT/ALICANTE;3012153;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;P;ENSEÑANZA PROFESIONAL DANZA;3º ENSEÑANZA PROFESIONAL DANZA  ;DANZA ESPAÑOLA;6
2022-2023;3;ALICANTE/ALACANT;3014;ALACANT/ALICANTE;3012153;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;P;ENSEÑANZA PROFESIONAL DANZA;4º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;8
2022-2023;3;ALICANTE/ALACANT;3014;ALACANT/ALICANTE;3012153;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;P;ENSEÑANZA PROFESIONAL DANZA;4º ENSEÑANZA PROFESIONAL DANZA;DANZA CONTEMPORÁNEA;9
2022-2023;3;ALICANTE/ALACANT;3014;ALACANT/ALICANTE;3012153;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;P;ENSEÑANZA PROFESIONAL DANZA;4º ENSEÑANZA PROFESIONAL DANZA;DANZA ESPAÑOLA;10
2022-2023;3;ALICANTE/ALACANT;3014;ALACANT/ALICANTE;3012153;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;P;ENSEÑANZA PROFESIONAL DANZA;5º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;3
2022-2023;3;ALICANTE/ALACANT;3014;ALACANT/ALICANTE;3012153;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;P;ENSEÑANZA PROFESIONAL DANZA;5º ENSEÑANZA PROFESIONAL DANZA;DANZA CONTEMPORÁNEA;5
2022-2023;3;ALICANTE/ALACANT;3014;ALACANT/ALICANTE;3012153;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;P;ENSEÑANZA PROFESIONAL DANZA;5º ENSEÑANZA PROFESIONAL DANZA;DANZA ESPAÑOLA;4
2022-2023;3;ALICANTE/ALACANT;3014;ALACANT/ALICANTE;3012153;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;P;ENSEÑANZA PROFESIONAL DANZA;6º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;9
2022-2023;3;ALICANTE/ALACANT;3014;ALACANT/ALICANTE;3012153;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;P;ENSEÑANZA PROFESIONAL DANZA;6º ENSEÑANZA PROFESIONAL DANZA;DANZA CONTEMPORÁNEA;11
2022-2023;3;ALICANTE/ALACANT;3014;ALACANT/ALICANTE;3012153;CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO;P;ENSEÑANZA PROFESIONAL DANZA;6º ENSEÑANZA PROFESIONAL DANZA;DANZA ESPAÑOLA;5
2022-2023;3;ALICANTE/ALACANT;3031;BENIDORM;3013868;CONSERVATORI ELEMENTAL DE DANSA;E;ENSEÑANZA ELEMENTAL DANZA;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;6
2022-2023;3;ALICANTE/ALACANT;3031;BENIDORM;3013868;CONSERVATORI ELEMENTAL DE DANSA;E;ENSEÑANZA ELEMENTAL DANZA;2º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;5
2022-2023;3;ALICANTE/ALACANT;3031;BENIDORM;3013868;CONSERVATORI ELEMENTAL DE DANSA;E;ENSEÑANZA ELEMENTAL DANZA;3º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;3
2022-2023;3;ALICANTE/ALACANT;3031;BENIDORM;3013868;CONSERVATORI ELEMENTAL DE DANSA;E;ENSEÑANZA ELEMENTAL DANZA;4º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;3
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;E;ENSEÑANZA ELEMENTAL DANZA;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;5
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;E;ENSEÑANZA ELEMENTAL DANZA;2º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;6
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;E;ENSEÑANZA ELEMENTAL DANZA;3º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;8
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;E;ENSEÑANZA ELEMENTAL DANZA;4º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;3
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;1º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;5
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;1º ENSEÑANZA PROFESIONAL DANZA;DANZA ESPAÑOLA;4
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;2º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;7
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;2º ENSEÑANZA PROFESIONAL DANZA;DANZA ESPAÑOLA;4
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;3º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;6
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;3º ENSEÑANZA PROFESIONAL DANZA  ;DANZA ESPAÑOLA;4
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;4º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;2
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;4º ENSEÑANZA PROFESIONAL DANZA;DANZA ESPAÑOLA;3
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;5º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;3
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;5º ENSEÑANZA PROFESIONAL DANZA;DANZA ESPAÑOLA;3
2022-2023;3;ALICANTE/ALACANT;3093;NOVELDA;3013871;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;6º ENSEÑANZA PROFESIONAL DANZA;DANZA ESPAÑOLA;2
2022-2023;3;ALICANTE/ALACANT;3122;SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG;3011495;CONSERV. PROF. DE MÚSICA I ELEM. DE DANSA V. LILLO CÁNOVAS;E;ENSEÑANZA ELEMENTAL DANZA;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;10
2022-2023;3;ALICANTE/ALACANT;3122;SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG;3011495;CONSERV. PROF. DE MÚSICA I ELEM. DE DANSA V. LILLO CÁNOVAS;E;ENSEÑANZA ELEMENTAL DANZA;2º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;8
2022-2023;3;ALICANTE/ALACANT;3122;SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG;3011495;CONSERV. PROF. DE MÚSICA I ELEM. DE DANSA V. LILLO CÁNOVAS;E;ENSEÑANZA ELEMENTAL DANZA;3º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;11
2022-2023;3;ALICANTE/ALACANT;3122;SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG;3011495;CONSERV. PROF. DE MÚSICA I ELEM. DE DANSA V. LILLO CÁNOVAS;E;ENSEÑANZA ELEMENTAL DANZA;4º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;7
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12007905;CENTRE ENS. PROFESSIONALS DE DANSA BETANIA;E;ENSEÑANZA ELEMENTAL DANZA;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;2
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12007905;CENTRE ENS. PROFESSIONALS DE DANSA BETANIA;E;ENSEÑANZA ELEMENTAL DANZA;2º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;7
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12007905;CENTRE ENS. PROFESSIONALS DE DANSA BETANIA;E;ENSEÑANZA ELEMENTAL DANZA;3º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;9
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12007905;CENTRE ENS. PROFESSIONALS DE DANSA BETANIA;E;ENSEÑANZA ELEMENTAL DANZA;4º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;4
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12007905;CENTRE ENS. PROFESSIONALS DE DANSA BETANIA;P;ENSEÑANZA PROFESIONAL DANZA;1º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;4
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12007905;CENTRE ENS. PROFESSIONALS DE DANSA BETANIA;P;ENSEÑANZA PROFESIONAL DANZA;2º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;2
